z,area_0_to_z,cdf
0.00,0.00000,0.50000
0.01,0.00399,0.50399
0.02,0.00798,0.50798
0.03,0.01197,0.51197
0.04,0.01595,0.51595
0.05,0.01994,0.51994
0.06,0.02392,0.52392
0.07,0.02790,0.52790
0.08,0.03188,0.53188
0.09,0.03586,0.53586
0.10,0.03983,0.53983
0.11,0.04380,0.54380
0.12,0.04776,0.54776
0.13,0.05172,0.55172
0.14,0.05567,0.55567
0.15,0.05962,0.55962
0.16,0.06356,0.56356
0.17,0.06749,0.56749
0.18,0.07142,0.57142
0.19,0.07535,0.57535
0.20,0.07926,0.57926
0.21,0.08317,0.58317
0.22,0.08706,0.58706
0.23,0.09095,0.59095
0.24,0.09483,0.59483
0.25,0.09871,0.59871
0.26,0.10257,0.60257
0.27,0.10642,0.60642
0.28,0.11026,0.61026
0.29,0.11409,0.61409
0.30,0.11791,0.61791
0.31,0.12172,0.62172
0.32,0.12552,0.62552
0.33,0.12930,0.62930
0.34,0.13307,0.63307
0.35,0.13683,0.63683
0.36,0.14058,0.64058
0.37,0.14431,0.64431
0.38,0.14803,0.64803
0.39,0.15173,0.65173
0.40,0.15542,0.65542
0.41,0.15910,0.65910
0.42,0.16276,0.66276
0.43,0.16640,0.66640
0.44,0.17003,0.67003
0.45,0.17364,0.67364
0.46,0.17724,0.67724
0.47,0.18082,0.68082
0.48,0.18439,0.68439
0.49,0.18793,0.68793
0.50,0.19146,0.69146
0.51,0.19497,0.69497
0.52,0.19847,0.69847
0.53,0.20194,0.70194
0.54,0.20540,0.70540
0.55,0.20884,0.70884
0.56,0.21226,0.71226
0.57,0.21566,0.71566
0.58,0.21904,0.71904
0.59,0.22240,0.72240
0.60,0.22575,0.72575
0.61,0.22907,0.72907
0.62,0.23237,0.73237
0.63,0.23565,0.73565
0.64,0.23891,0.73891
0.65,0.24215,0.74215
0.66,0.24537,0.74537
0.67,0.24857,0.74857
0.68,0.25175,0.75175
0.69,0.25490,0.75490
0.70,0.25804,0.75804
0.71,0.26115,0.76115
0.72,0.26424,0.76424
0.73,0.26730,0.76730
0.74,0.27035,0.77035
0.75,0.27337,0.77337
0.76,0.27637,0.77637
0.77,0.27935,0.77935
0.78,0.28230,0.78230
0.79,0.28524,0.78524
0.80,0.28814,0.78814
0.81,0.29103,0.79103
0.82,0.29389,0.79389
0.83,0.29673,0.79673
0.84,0.29955,0.79955
0.85,0.30234,0.80234
0.86,0.30511,0.80511
0.87,0.30785,0.80785
0.88,0.31057,0.81057
0.89,0.31327,0.81327
0.90,0.31594,0.81594
0.91,0.31859,0.81859
0.92,0.32121,0.82121
0.93,0.32381,0.82381
0.94,0.32639,0.82639
0.95,0.32894,0.82894
0.96,0.33147,0.83147
0.97,0.33398,0.83398
0.98,0.33646,0.83646
0.99,0.33891,0.83891
1.00,0.34134,0.84134
1.01,0.34375,0.84375
1.02,0.34614,0.84614
1.03,0.34849,0.84849
1.04,0.35083,0.85083
1.05,0.35314,0.85314
1.06,0.35543,0.85543
1.07,0.35769,0.85769
1.08,0.35993,0.85993
1.09,0.36214,0.86214
1.10,0.36433,0.86433
1.11,0.36650,0.86650
1.12,0.36864,0.86864
1.13,0.37076,0.87076
1.14,0.37286,0.87286
1.15,0.37493,0.87493
1.16,0.37698,0.87698
1.17,0.37900,0.87900
1.18,0.38100,0.88100
1.19,0.38298,0.88298
1.20,0.38493,0.88493
1.21,0.38686,0.88686
1.22,0.38877,0.88877
1.23,0.39065,0.89065
1.24,0.39251,0.89251
1.25,0.39435,0.89435
1.26,0.39617,0.89617
1.27,0.39796,0.89796
1.28,0.39973,0.89973
1.29,0.40147,0.90147
1.30,0.40320,0.90320
1.31,0.40490,0.90490
1.32,0.40658,0.90658
1.33,0.40824,0.90824
1.34,0.40988,0.90988
1.35,0.41149,0.91149
1.36,0.41309,0.91309
1.37,0.41466,0.91466
1.38,0.41621,0.91621
1.39,0.41774,0.91774
1.40,0.41924,0.91924
1.41,0.42073,0.92073
1.42,0.42220,0.92220
1.43,0.42364,0.92364
1.44,0.42507,0.92507
1.45,0.42647,0.92647
1.46,0.42785,0.92785
1.47,0.42922,0.92922
1.48,0.43056,0.93056
1.49,0.43189,0.93189
1.50,0.43319,0.93319
1.51,0.43448,0.93448
1.52,0.43574,0.93574
1.53,0.43699,0.93699
1.54,0.43822,0.93822
1.55,0.43943,0.93943
1.56,0.44062,0.94062
1.57,0.44179,0.94179
1.58,0.44295,0.94295
1.59,0.44408,0.94408
1.60,0.44520,0.94520
1.61,0.44630,0.94630
1.62,0.44738,0.94738
1.63,0.44845,0.94845
1.64,0.44950,0.94950
1.65,0.45053,0.95053
1.66,0.45154,0.95154
1.67,0.45254,0.95254
1.68,0.45352,0.95352
1.69,0.45449,0.95449
1.70,0.45543,0.95543
1.71,0.45637,0.95637
1.72,0.45728,0.95728
1.73,0.45818,0.95818
1.74,0.45907,0.95907
1.75,0.45994,0.95994
1.76,0.46080,0.96080
1.77,0.46164,0.96164
1.78,0.46246,0.96246
1.79,0.46327,0.96327
1.80,0.46407,0.96407
1.81,0.46485,0.96485
1.82,0.46562,0.96562
1.83,0.46638,0.96638
1.84,0.46712,0.96712
1.85,0.46784,0.96784
1.86,0.46856,0.96856
1.87,0.46926,0.96926
1.88,0.46995,0.96995
1.89,0.47062,0.97062
1.90,0.47128,0.97128
1.91,0.47193,0.97193
1.92,0.47257,0.97257
1.93,0.47320,0.97320
1.94,0.47381,0.97381
1.95,0.47441,0.97441
1.96,0.47500,0.97500
1.97,0.47558,0.97558
1.98,0.47615,0.97615
1.99,0.47670,0.97670
2.00,0.47725,0.97725
2.01,0.47778,0.97778
2.02,0.47831,0.97831
2.03,0.47882,0.97882
2.04,0.47932,0.97932
2.05,0.47982,0.97982
2.06,0.48030,0.98030
2.07,0.48077,0.98077
2.08,0.48124,0.98124
2.09,0.48169,0.98169
2.10,0.48214,0.98214
2.11,0.48257,0.98257
2.12,0.48300,0.98300
2.13,0.48341,0.98341
2.14,0.48382,0.98382
2.15,0.48422,0.98422
2.16,0.48461,0.98461
2.17,0.48500,0.98500
2.18,0.48537,0.98537
2.19,0.48574,0.98574
2.20,0.48610,0.98610
2.21,0.48645,0.98645
2.22,0.48679,0.98679
2.23,0.48713,0.98713
2.24,0.48745,0.98745
2.25,0.48778,0.98778
2.26,0.48809,0.98809
2.27,0.48840,0.98840
2.28,0.48870,0.98870
2.29,0.48899,0.98899
2.30,0.48928,0.98928
2.31,0.48956,0.98956
2.32,0.48983,0.98983
2.33,0.49010,0.99010
2.34,0.49036,0.99036
2.35,0.49061,0.99061
2.36,0.49086,0.99086
2.37,0.49111,0.99111
2.38,0.49134,0.99134
2.39,0.49158,0.99158
2.40,0.49180,0.99180
2.41,0.49202,0.99202
2.42,0.49224,0.99224
2.43,0.49245,0.99245
2.44,0.49266,0.99266
2.45,0.49286,0.99286
2.46,0.49305,0.99305
2.47,0.49324,0.99324
2.48,0.49343,0.99343
2.49,0.49361,0.99361
2.50,0.49379,0.99379
2.51,0.49396,0.99396
2.52,0.49413,0.99413
2.53,0.49430,0.99430
2.54,0.49446,0.99446
2.55,0.49461,0.99461
2.56,0.49477,0.99477
2.57,0.49492,0.99492
2.58,0.49506,0.99506
2.59,0.49520,0.99520
2.60,0.49534,0.99534
2.61,0.49547,0.99547
2.62,0.49560,0.99560
2.63,0.49573,0.99573
2.64,0.49585,0.99585
2.65,0.49598,0.99598
2.66,0.49609,0.99609
2.67,0.49621,0.99621
2.68,0.49632,0.99632
2.69,0.49643,0.99643
2.70,0.49653,0.99653
2.71,0.49664,0.99664
2.72,0.49674,0.99674
2.73,0.49683,0.99683
2.74,0.49693,0.99693
2.75,0.49702,0.99702
2.76,0.49711,0.99711
2.77,0.49720,0.99720
2.78,0.49728,0.99728
2.79,0.49736,0.99736
2.80,0.49744,0.99744
2.81,0.49752,0.99752
2.82,0.49760,0.99760
2.83,0.49767,0.99767
2.84,0.49774,0.99774
2.85,0.49781,0.99781
2.86,0.49788,0.99788
2.87,0.49795,0.99795
2.88,0.49801,0.99801
2.89,0.49807,0.99807
2.90,0.49813,0.99813
2.91,0.49819,0.99819
2.92,0.49825,0.99825
2.93,0.49831,0.99831
2.94,0.49836,0.99836
2.95,0.49841,0.99841
2.96,0.49846,0.99846
2.97,0.49851,0.99851
2.98,0.49856,0.99856
2.99,0.49861,0.99861
3.00,0.49865,0.99865
3.01,0.49869,0.99869
3.02,0.49874,0.99874
3.03,0.49878,0.99878
3.04,0.49882,0.99882
3.05,0.49886,0.99886
3.06,0.49889,0.99889
3.07,0.49893,0.99893
3.08,0.49896,0.99896
3.09,0.49900,0.99900
3.10,0.49903,0.99903
3.11,0.49906,0.99906
3.12,0.49910,0.99910
3.13,0.49913,0.99913
3.14,0.49916,0.99916
3.15,0.49918,0.99918
3.16,0.49921,0.99921
3.17,0.49924,0.99924
3.18,0.49926,0.99926
3.19,0.49929,0.99929
3.20,0.49931,0.99931
